RequestedDate,CANSOL
2013-07-08,74000
2013-07-15,159100
2013-07-22,88800
2013-08-08,44400
2013-08-12,25900
2013-08-28,18500
2013-09-04,33300
2013-09-17,29600
2013-10-16,29600
2013-11-11,35600
2013-11-14,40700
2013-12-16,29600
2014-01-08,29600
2014-01-15,29600
2014-02-11,34000
2014-03-27,33300
2014-04-02,27200
2014-05-08,30600
2014-06-10,29600
2014-06-12,10200
2014-07-07,27200
2015-02-11,91800
2015-02-25,76900
2015-03-04,84600
2015-03-11,25900
2015-03-18,64200
2015-03-26,47600
2015-04-08,55500
2015-04-09,27200
2015-04-15,34000
2015-05-06,125048
2015-05-07,25900
2015-06-04,29600
2015-07-01,37000
2015-07-14,34000
2015-07-16,27200
2015-08-04,44200
2015-08-06,111000
2015-08-13,27200
2015-09-02,27200
2015-11-05,27200
2015-12-03,40800
2015-12-22,27200
2016-06-09,25900
2016-07-14,47600
2016-09-07,25600
2016-09-12,3200
2016-12-15,23800
2017-01-26,23800
2017-02-16,25900
2017-03-23,23800
2017-05-18,23800
2017-05-26,25900
2017-06-07,23800
2017-07-25,23800
2017-09-20,25900
2017-11-03,23800
2017-11-21,23800
2018-01-11,25900
2018-01-18,23800
2018-02-08,25900
2018-02-16,23800
2018-04-05,23800
2018-05-03,23800
2018-06-28,25900
2018-10-29,23800
2018-12-18,23800
2019-01-15,23800
2019-03-15,25900
2019-04-15,23800
2019-07-15,23800
2020-12-31,29600
